product_id,name,category,manufacturing_plant_id,manufacturing_country,bill_of_materials,production_volume_per_month,unit_price_usd,regulatory_class,fda_approved,ce_marked,shelf_life_months,weight_kg,dimensions_cm
PRD_3CF49118,Cardiac Pacemaker,Implantable,PLT_272FC76A,Germany,"[{'material_id': 'MAT_A72708C8', 'material_name': 'Rare Earth Magnets', 'quantity_per_unit': 0.892, 'unit_of_measure': 'kg', 'cost_per_unit': 432.71}, {'material_id': 'MAT_D06A8F61', 'material_name': 'Aluminum', 'quantity_per_unit': 7.272, 'unit_of_measure': 'liters', 'cost_per_unit': 242.56}, {'material_id': 'MAT_D21EFEFD', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 6.178, 'unit_of_measure': 'meters', 'cost_per_unit': 276.88}, {'material_id': 'MAT_41318529', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 7.145, 'unit_of_measure': 'kg', 'cost_per_unit': 233.39}, {'material_id': 'MAT_8E1AD9C4', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 9.463, 'unit_of_measure': 'pieces', 'cost_per_unit': 180.88}, {'material_id': 'MAT_C86BAEED', 'material_name': 'Polypropylene', 'quantity_per_unit': 6.439, 'unit_of_measure': 'liters', 'cost_per_unit': 3.1}, {'material_id': 'MAT_E7C72285', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 0.206, 'unit_of_measure': 'meters', 'cost_per_unit': 465.0}]",1695,36241,Class III,True,True,98,18.13,"{'length': 71, 'width': 10, 'height': 25}"
PRD_AAA90331,Insulin Pump,Implantable,PLT_9CB82785,Ireland,"[{'material_id': 'MAT_84E14B61', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 9.637, 'unit_of_measure': 'meters', 'cost_per_unit': 241.72}, {'material_id': 'MAT_6445FF99', 'material_name': 'Electronic Components', 'quantity_per_unit': 2.34, 'unit_of_measure': 'pieces', 'cost_per_unit': 183.21}, {'material_id': 'MAT_5D8DB786', 'material_name': 'Electronic Components', 'quantity_per_unit': 4.602, 'unit_of_measure': 'liters', 'cost_per_unit': 298.69}, {'material_id': 'MAT_0967BDE5', 'material_name': 'Polyethylene', 'quantity_per_unit': 5.792, 'unit_of_measure': 'meters', 'cost_per_unit': 27.32}, {'material_id': 'MAT_DB34572B', 'material_name': 'Circuit Boards', 'quantity_per_unit': 1.833, 'unit_of_measure': 'kg', 'cost_per_unit': 375.03}, {'material_id': 'MAT_C31580E4', 'material_name': 'Medical Grade Silicone', 'quantity_per_unit': 5.63, 'unit_of_measure': 'meters', 'cost_per_unit': 159.71}, {'material_id': 'MAT_41318529', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 3.466, 'unit_of_measure': 'kg', 'cost_per_unit': 233.39}, {'material_id': 'MAT_D21EFEFD', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 8.049, 'unit_of_measure': 'meters', 'cost_per_unit': 276.88}, {'material_id': 'MAT_E2F668BE', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 8.774, 'unit_of_measure': 'meters', 'cost_per_unit': 89.23}, {'material_id': 'MAT_E8F825DA', 'material_name': 'Pharmaceutical Excipients', 'quantity_per_unit': 6.972, 'unit_of_measure': 'liters', 'cost_per_unit': 208.28}, {'material_id': 'MAT_FD206E98', 'material_name': 'Lithium Batteries', 'quantity_per_unit': 5.675, 'unit_of_measure': 'pieces', 'cost_per_unit': 288.92}]",2882,814274,Class II,False,True,73,58.22,"{'length': 27, 'width': 107, 'height': 86}"
PRD_A3A038A3,MRI Scanner,Imaging,PLT_FD050D71,China,"[{'material_id': 'MAT_321F2C87', 'material_name': 'Copper Wire', 'quantity_per_unit': 6.77, 'unit_of_measure': 'meters', 'cost_per_unit': 156.94}, {'material_id': 'MAT_84E14B61', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 0.853, 'unit_of_measure': 'pieces', 'cost_per_unit': 241.72}, {'material_id': 'MAT_DB34572B', 'material_name': 'Circuit Boards', 'quantity_per_unit': 4.818, 'unit_of_measure': 'meters', 'cost_per_unit': 375.03}, {'material_id': 'MAT_1FC07F8B', 'material_name': 'Optical Fibers', 'quantity_per_unit': 2.264, 'unit_of_measure': 'meters', 'cost_per_unit': 161.77}, {'material_id': 'MAT_C31580E4', 'material_name': 'Medical Grade Silicone', 'quantity_per_unit': 1.91, 'unit_of_measure': 'pieces', 'cost_per_unit': 159.71}, {'material_id': 'MAT_8E1AD9C4', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 5.04, 'unit_of_measure': 'pieces', 'cost_per_unit': 180.88}, {'material_id': 'MAT_B0A0CE52', 'material_name': 'Polypropylene', 'quantity_per_unit': 2.425, 'unit_of_measure': 'pieces', 'cost_per_unit': 207.2}, {'material_id': 'MAT_E2F668BE', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 8.74, 'unit_of_measure': 'pieces', 'cost_per_unit': 89.23}, {'material_id': 'MAT_D21EFEFD', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 2.369, 'unit_of_measure': 'pieces', 'cost_per_unit': 276.88}, {'material_id': 'MAT_5D8DB786', 'material_name': 'Electronic Components', 'quantity_per_unit': 8.38, 'unit_of_measure': 'meters', 'cost_per_unit': 298.69}]",1377,817776,Class I,True,True,98,477.89,"{'length': 136, 'width': 11, 'height': 74}"
PRD_9C344D83,X-Ray Machine,Imaging,PLT_D1E2EC39,Indonesia,"[{'material_id': 'MAT_76753E2A', 'material_name': 'Glass Vials', 'quantity_per_unit': 0.636, 'unit_of_measure': 'liters', 'cost_per_unit': 224.81}, {'material_id': 'MAT_9FC44B01', 'material_name': 'Lithium Batteries', 'quantity_per_unit': 4.835, 'unit_of_measure': 'kg', 'cost_per_unit': 459.42}, {'material_id': 'MAT_0EDCA270', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 5.075, 'unit_of_measure': 'liters', 'cost_per_unit': 167.7}, {'material_id': 'MAT_AA60F6FB', 'material_name': 'Lithium Batteries', 'quantity_per_unit': 8.618, 'unit_of_measure': 'pieces', 'cost_per_unit': 162.16}, {'material_id': 'MAT_967816F8', 'material_name': 'Nitrile Rubber', 'quantity_per_unit': 4.626, 'unit_of_measure': 'kg', 'cost_per_unit': 8.32}, {'material_id': 'MAT_FD206E98', 'material_name': 'Lithium Batteries', 'quantity_per_unit': 7.013, 'unit_of_measure': 'liters', 'cost_per_unit': 288.92}, {'material_id': 'MAT_8F18F31B', 'material_name': 'Optical Fibers', 'quantity_per_unit': 3.225, 'unit_of_measure': 'kg', 'cost_per_unit': 186.24}, {'material_id': 'MAT_6445FF99', 'material_name': 'Electronic Components', 'quantity_per_unit': 0.217, 'unit_of_measure': 'pieces', 'cost_per_unit': 183.21}, {'material_id': 'MAT_C86BAEED', 'material_name': 'Polypropylene', 'quantity_per_unit': 3.856, 'unit_of_measure': 'kg', 'cost_per_unit': 3.1}, {'material_id': 'MAT_6749A1F4', 'material_name': 'Polycarbonate Resin', 'quantity_per_unit': 3.322, 'unit_of_measure': 'meters', 'cost_per_unit': 329.81}]",1633,576210,Class II,True,False,72,479.27,"{'length': 97, 'width': 103, 'height': 28}"
PRD_E7AFF95C,Ultrasound Device,Imaging,PLT_F459CBE4,Netherlands,"[{'material_id': 'MAT_E7C72285', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 5.598, 'unit_of_measure': 'liters', 'cost_per_unit': 465.0}, {'material_id': 'MAT_E0B3B8DE', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 2.041, 'unit_of_measure': 'pieces', 'cost_per_unit': 150.48}, {'material_id': 'MAT_5D8DB786', 'material_name': 'Electronic Components', 'quantity_per_unit': 4.783, 'unit_of_measure': 'kg', 'cost_per_unit': 298.69}, {'material_id': 'MAT_0EDCA270', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 1.848, 'unit_of_measure': 'liters', 'cost_per_unit': 167.7}, {'material_id': 'MAT_53C6B315', 'material_name': 'Aluminum', 'quantity_per_unit': 1.431, 'unit_of_measure': 'meters', 'cost_per_unit': 16.83}, {'material_id': 'MAT_967816F8', 'material_name': 'Nitrile Rubber', 'quantity_per_unit': 7.875, 'unit_of_measure': 'meters', 'cost_per_unit': 8.32}, {'material_id': 'MAT_6749A1F4', 'material_name': 'Polycarbonate Resin', 'quantity_per_unit': 2.585, 'unit_of_measure': 'kg', 'cost_per_unit': 329.81}, {'material_id': 'MAT_AB16F8C0', 'material_name': 'Polypropylene', 'quantity_per_unit': 4.044, 'unit_of_measure': 'pieces', 'cost_per_unit': 44.1}, {'material_id': 'MAT_D54AD182', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 0.694, 'unit_of_measure': 'meters', 'cost_per_unit': 165.27}, {'material_id': 'MAT_64D1E275', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 4.818, 'unit_of_measure': 'kg', 'cost_per_unit': 68.18}, {'material_id': 'MAT_AD1F96C4', 'material_name': 'Polypropylene', 'quantity_per_unit': 4.554, 'unit_of_measure': 'meters', 'cost_per_unit': 45.26}]",2228,379496,Class II,False,False,14,205.94,"{'length': 99, 'width': 60, 'height': 78}"
PRD_5602B2A6,Ultrasound Device,Imaging,PLT_FDCACAD3,South Korea,"[{'material_id': 'MAT_1FC07F8B', 'material_name': 'Optical Fibers', 'quantity_per_unit': 1.534, 'unit_of_measure': 'pieces', 'cost_per_unit': 161.77}, {'material_id': 'MAT_C6F670D7', 'material_name': 'Latex', 'quantity_per_unit': 6.442, 'unit_of_measure': 'meters', 'cost_per_unit': 450.69}, {'material_id': 'MAT_E2F668BE', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 4.276, 'unit_of_measure': 'liters', 'cost_per_unit': 89.23}, {'material_id': 'MAT_84E14B61', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 8.504, 'unit_of_measure': 'kg', 'cost_per_unit': 241.72}, {'material_id': 'MAT_105587D0', 'material_name': 'Pharmaceutical Excipients', 'quantity_per_unit': 0.883, 'unit_of_measure': 'meters', 'cost_per_unit': 328.97}, {'material_id': 'MAT_FD206E98', 'material_name': 'Lithium Batteries', 'quantity_per_unit': 2.359, 'unit_of_measure': 'meters', 'cost_per_unit': 288.92}, {'material_id': 'MAT_AA60F6FB', 'material_name': 'Lithium Batteries', 'quantity_per_unit': 6.565, 'unit_of_measure': 'meters', 'cost_per_unit': 162.16}, {'material_id': 'MAT_53C6B315', 'material_name': 'Aluminum', 'quantity_per_unit': 6.093, 'unit_of_measure': 'liters', 'cost_per_unit': 16.83}, {'material_id': 'MAT_F36270DD', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 2.785, 'unit_of_measure': 'liters', 'cost_per_unit': 156.8}, {'material_id': 'MAT_34DE9A63', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 7.832, 'unit_of_measure': 'meters', 'cost_per_unit': 398.98}, {'material_id': 'MAT_8F18F31B', 'material_name': 'Optical Fibers', 'quantity_per_unit': 7.504, 'unit_of_measure': 'liters', 'cost_per_unit': 186.24}, {'material_id': 'MAT_333A71D8', 'material_name': 'Rare Earth Magnets', 'quantity_per_unit': 4.198, 'unit_of_measure': 'pieces', 'cost_per_unit': 149.21}, {'material_id': 'MAT_76753E2A', 'material_name': 'Glass Vials', 'quantity_per_unit': 8.557, 'unit_of_measure': 'pieces', 'cost_per_unit': 224.81}, {'material_id': 'MAT_28A807D3', 'material_name': 'Rare Earth Magnets', 'quantity_per_unit': 7.305, 'unit_of_measure': 'meters', 'cost_per_unit': 430.59}]",755,221800,Class I,False,True,24,31.99,"{'length': 131, 'width': 150, 'height': 11}"
PRD_E74271A2,Ventilator,Therapeutic,PLT_6457C5CC,Germany,"[{'material_id': 'MAT_F36270DD', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 5.315, 'unit_of_measure': 'pieces', 'cost_per_unit': 156.8}, {'material_id': 'MAT_D5F932C4', 'material_name': 'Polycarbonate Resin', 'quantity_per_unit': 0.383, 'unit_of_measure': 'meters', 'cost_per_unit': 360.3}, {'material_id': 'MAT_8E1AD9C4', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 8.618, 'unit_of_measure': 'meters', 'cost_per_unit': 180.88}, {'material_id': 'MAT_D5BB58A9', 'material_name': 'PEEK Polymer', 'quantity_per_unit': 8.656, 'unit_of_measure': 'liters', 'cost_per_unit': 282.72}, {'material_id': 'MAT_6B3BA556', 'material_name': 'Ceramic Components', 'quantity_per_unit': 9.752, 'unit_of_measure': 'meters', 'cost_per_unit': 347.95}, {'material_id': 'MAT_667DDDE5', 'material_name': 'Electronic Components', 'quantity_per_unit': 5.531, 'unit_of_measure': 'pieces', 'cost_per_unit': 2.72}, {'material_id': 'MAT_F6AD1147', 'material_name': 'Glass Vials', 'quantity_per_unit': 9.698, 'unit_of_measure': 'pieces', 'cost_per_unit': 70.02}, {'material_id': 'MAT_AB16F8C0', 'material_name': 'Polypropylene', 'quantity_per_unit': 5.949, 'unit_of_measure': 'liters', 'cost_per_unit': 44.1}, {'material_id': 'MAT_B0A0CE52', 'material_name': 'Polypropylene', 'quantity_per_unit': 6.347, 'unit_of_measure': 'liters', 'cost_per_unit': 207.2}, {'material_id': 'MAT_E2F668BE', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 5.282, 'unit_of_measure': 'meters', 'cost_per_unit': 89.23}, {'material_id': 'MAT_A14A6D0A', 'material_name': 'Aluminum', 'quantity_per_unit': 9.098, 'unit_of_measure': 'liters', 'cost_per_unit': 208.11}, {'material_id': 'MAT_6749A1F4', 'material_name': 'Polycarbonate Resin', 'quantity_per_unit': 5.443, 'unit_of_measure': 'kg', 'cost_per_unit': 329.81}, {'material_id': 'MAT_41318529', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 4.474, 'unit_of_measure': 'meters', 'cost_per_unit': 233.39}]",3476,273427,Class I,False,True,12,261.71,"{'length': 44, 'width': 98, 'height': 41}"
PRD_F4DFA9A8,Defibrillator,Surgical,PLT_674C96AC,Brazil,"[{'material_id': 'MAT_28A807D3', 'material_name': 'Rare Earth Magnets', 'quantity_per_unit': 2.574, 'unit_of_measure': 'liters', 'cost_per_unit': 430.59}, {'material_id': 'MAT_9AEEC909', 'material_name': 'Glass Vials', 'quantity_per_unit': 8.301, 'unit_of_measure': 'pieces', 'cost_per_unit': 471.52}, {'material_id': 'MAT_C31580E4', 'material_name': 'Medical Grade Silicone', 'quantity_per_unit': 2.704, 'unit_of_measure': 'liters', 'cost_per_unit': 159.71}, {'material_id': 'MAT_D06A8F61', 'material_name': 'Aluminum', 'quantity_per_unit': 6.291, 'unit_of_measure': 'meters', 'cost_per_unit': 242.56}, {'material_id': 'MAT_0E51C31A', 'material_name': 'Glass Vials', 'quantity_per_unit': 2.918, 'unit_of_measure': 'meters', 'cost_per_unit': 57.39}, {'material_id': 'MAT_AB16F8C0', 'material_name': 'Polypropylene', 'quantity_per_unit': 4.188, 'unit_of_measure': 'kg', 'cost_per_unit': 44.1}, {'material_id': 'MAT_2C61E357', 'material_name': 'Medical Grade Silicone', 'quantity_per_unit': 1.906, 'unit_of_measure': 'meters', 'cost_per_unit': 313.18}, {'material_id': 'MAT_E7C72285', 'material_name': 'Active Pharmaceutical Ingredients', 'quantity_per_unit': 1.193, 'unit_of_measure': 'liters', 'cost_per_unit': 465.0}, {'material_id': 'MAT_7E5E72B6', 'material_name': 'Nitrile Rubber', 'quantity_per_unit': 6.216, 'unit_of_measure': 'meters', 'cost_per_unit': 81.64}, {'material_id': 'MAT_321F2C87', 'material_name': 'Copper Wire', 'quantity_per_unit': 7.035, 'unit_of_measure': 'liters', 'cost_per_unit': 156.94}, {'material_id': 'MAT_92813F53', 'material_name': 'Optical Fibers', 'quantity_per_unit': 1.959, 'unit_of_measure': 'kg', 'cost_per_unit': 441.13}, {'material_id': 'MAT_6445FF99', 'material_name': 'Electronic Components', 'quantity_per_unit': 1.606, 'unit_of_measure': 'kg', 'cost_per_unit': 183.21}]",1623,108241,Class II,False,True,103,219.26,"{'length': 12, 'width': 69, 'height': 16}"
PRD_00140F5F,Defibrillator,Surgical,PLT_92234598,Indonesia,"[{'material_id': 'MAT_C31580E4', 'material_name': 'Medical Grade Silicone', 'quantity_per_unit': 9.98, 'unit_of_measure': 'liters', 'cost_per_unit': 159.71}, {'material_id': 'MAT_9FC44B01', 'material_name': 'Lithium Batteries', 'quantity_per_unit': 7.0, 'unit_of_measure': 'kg', 'cost_per_unit': 459.42}, {'material_id': 'MAT_28160D04', 'material_name': 'Polypropylene', 'quantity_per_unit': 3.369, 'unit_of_measure': 'pieces', 'cost_per_unit': 77.53}, {'material_id': 'MAT_37362FCD', 'material_name': 'Pharmaceutical Excipients', 'quantity_per_unit': 0.655, 'unit_of_measure': 'liters', 'cost_per_unit': 386.28}, {'material_id': 'MAT_15A3DDA5', 'material_name': 'Copper Wire', 'quantity_per_unit': 0.807, 'unit_of_measure': 'liters', 'cost_per_unit': 194.54}, {'material_id': 'MAT_F6AD1147', 'material_name': 'Glass Vials', 'quantity_per_unit': 1.898, 'unit_of_measure': 'meters', 'cost_per_unit': 70.02}, {'material_id': 'MAT_D23F6D6C', 'material_name': 'Ceramic Components', 'quantity_per_unit': 8.191, 'unit_of_measure': 'kg', 'cost_per_unit': 238.66}]",1099,806459,Class III,True,False,110,487.49,"{'length': 73, 'width': 18, 'height': 30}"
PRD_5A542472,Blood Glucose Monitor,Monitoring,PLT_19E15F8D,Switzerland,"[{'material_id': 'MAT_1AD425E5', 'material_name': 'Polyethylene', 'quantity_per_unit': 0.616, 'unit_of_measure': 'pieces', 'cost_per_unit': 317.24}, {'material_id': 'MAT_A72708C8', 'material_name': 'Rare Earth Magnets', 'quantity_per_unit': 9.735, 'unit_of_measure': 'pieces', 'cost_per_unit': 432.71}, {'material_id': 'MAT_667DDDE5', 'material_name': 'Electronic Components', 'quantity_per_unit': 6.366, 'unit_of_measure': 'meters', 'cost_per_unit': 2.72}, {'material_id': 'MAT_F6AD1147', 'material_name': 'Glass Vials', 'quantity_per_unit': 0.249, 'unit_of_measure': 'meters', 'cost_per_unit': 70.02}, {'material_id': 'MAT_105587D0', 'material_name': 'Pharmaceutical Excipients', 'quantity_per_unit': 5.888, 'unit_of_measure': 'liters', 'cost_per_unit': 328.97}, {'material_id': 'MAT_833C7150', 'material_name': 'PEEK Polymer', 'quantity_per_unit': 7.913, 'unit_of_measure': 'kg', 'cost_per_unit': 189.94}, {'material_id': 'MAT_23F6976C', 'material_name': 'Titanium Alloy', 'quantity_per_unit': 9.691, 'unit_of_measure': 'liters', 'cost_per_unit': 337.0}, {'material_id': 'MAT_DB34572B', 'material_name': 'Circuit Boards', 'quantity_per_unit': 6.915, 'unit_of_measure': 'pieces', 'cost_per_unit': 375.03}, {'material_id': 'MAT_DC1112C9', 'material_name': 'Polycarbonate Resin', 'quantity_per_unit': 3.777, 'unit_of_measure': 'kg', 'cost_per_unit': 34.45}, {'material_id': 'MAT_DAE69A6F', 'material_name': 'PVC Medical Grade', 'quantity_per_unit': 2.562, 'unit_of_measure': 'liters', 'cost_per_unit': 73.39}, {'material_id': 'MAT_28A807D3', 'material_name': 'Rare Earth Magnets', 'quantity_per_unit': 1.005, 'unit_of_measure': 'meters', 'cost_per_unit': 430.59}, {'material_id': 'MAT_9AEEC909', 'material_name': 'Glass Vials', 'quantity_per_unit': 9.315, 'unit_of_measure': 'kg', 'cost_per_unit': 471.52}, {'material_id': 'MAT_D54AD182', 'material_name': 'Stainless Steel 316L', 'quantity_per_unit': 0.692, 'unit_of_measure': 'pieces', 'cost_per_unit': 165.27}, {'material_id': 'MAT_967816F8', 'material_name': 'Nitrile Rubber', 'quantity_per_unit': 7.043, 'unit_of_measure': 'kg', 'cost_per_unit': 8.32}, {'material_id': 'MAT_A14A6D0A', 'material_name': 'Aluminum', 'quantity_per_unit': 1.346, 'unit_of_measure': 'pieces', 'cost_per_unit': 208.11}]",2694,586472,Class III,False,False,105,96.56,"{'length': 186, 'width': 106, 'height': 50}"
