supplier_id,name,country,city,tier,certifications,capacity_rating,lead_time_days,quality_score,financial_stability,specialty_materials,established_year,employee_count,annual_revenue_usd
SUP_E4E4BACA,"Rodriguez, Figueroa and Sanchez Ltd",Indonesia,Lake Curtis,Tier 1,"['CE Mark', 'FDA 510k', 'ISO 13485']",3,20,9.03,High Risk,['Circuit Boards'],2007,310,16997261
SUP_A2072CAB,"Mcclain, Miller and Henderson Inc",China,North Jefferyhaven,Tier 1,"['GMP', 'ISO 13485', 'CE Mark']",4,90,9.1,Moderate Risk,"['Copper Wire', 'Circuit Boards']",1997,103,408381601
SUP_069B11C8,"Johnson, Gonzalez and Santos GmbH",Thailand,Robinsonshire,Tier 2,"['FDA 510k', 'GMP']",6,20,7.28,Stable,"['Pharmaceutical Excipients', 'Optical Fibers', 'Polypropylene']",1982,3813,288885264
SUP_9F1258E1,Pacheco-Smith GmbH,India,Lake Roberto,Tier 1,"['CE Mark', 'GMP', 'ISO 9001']",4,15,7.14,Stable,"['Stainless Steel 316L', 'Polyethylene', 'Polycarbonate Resin']",2004,2327,244422802
SUP_0FB475E2,Moore-Bernard Corp,Indonesia,Curtisfurt,Tier 1,"['CE Mark', 'FDA 510k']",5,89,7.21,High Risk,"['Lithium Batteries', 'Polyethylene']",1990,3836,204718590
SUP_201D269B,Howard LLC Pte Ltd,South Korea,Lindsaymouth,Tier 1,"['CE Mark', 'ISO 13485', 'ISO 9001']",1,47,8.2,Stable,"['Circuit Boards', 'Glass Vials']",1993,4139,213403258
SUP_16A00B3F,"Martinez, Nielsen and Miller GmbH",Indonesia,Mariastad,Tier 1,"['FDA 510k', 'GMP']",9,75,7.79,High Risk,"['Circuit Boards', 'Active Pharmaceutical Ingredients', 'Pharmaceutical Excipients', 'Polyethylene']",1988,4224,265954299
SUP_A9750AD4,"Lee, Jones and Stanley Ltd",China,Traciebury,Tier 1,['FDA 510k'],7,83,7.19,Moderate Risk,"['Copper Wire', 'Rare Earth Magnets', 'Polypropylene', 'Lithium Batteries', 'Medical Grade Silicone']",1987,4448,404124450
SUP_A4111104,James Group Corp,South Korea,Franciscostad,Tier 1,"['ISO 9001', 'FDA 510k']",8,7,9.86,High Risk,"['Rare Earth Magnets', 'Latex', 'Ceramic Components']",1986,2494,452867790
SUP_C70FC12B,Santiago Ltd Pte Ltd,Indonesia,New Cynthiaside,Tier 3,['FDA 510k'],6,27,8.62,High Risk,['Optical Fibers'],2000,4052,11456496
SUP_F52DC88C,"Sanchez, Ford and Nelson Corp",India,Lake Mark,Tier 2,['ISO 13485'],4,79,9.84,Stable,"['Stainless Steel 316L', 'Lithium Batteries', 'PEEK Polymer', 'Circuit Boards']",2010,4553,89651861
SUP_CE661A23,Perez Inc Pte Ltd,South Korea,Richardland,Tier 3,"['FDA 510k', 'GMP']",5,58,9.99,High Risk,"['Copper Wire', 'Rare Earth Magnets', 'Ceramic Components']",1987,2080,121633465
SUP_3BC6A237,Gentry PLC Corp,China,Jasonfort,Tier 1,"['GMP', 'FDA 510k', 'CE Mark']",4,7,7.21,High Risk,['Polyethylene'],1984,307,462513240
SUP_3119B27A,Wilkerson-Day Ltd,Italy,West Donald,Tier 3,['CE Mark'],8,34,8.62,High Risk,"['Circuit Boards', 'Aluminum', 'Polyethylene', 'Optical Fibers', 'Electronic Components']",1992,822,53039333
SUP_B2155349,"Hoffman, Baker and Richards GmbH",Philippines,Coxberg,Tier 2,"['ISO 9001', 'GMP']",1,90,9.95,Stable,['Active Pharmaceutical Ingredients'],2001,945,134496352
SUP_7A4A8970,"Snyder, Campos and Callahan Inc",Malaysia,Lake Ernest,Tier 3,"['FDA 510k', 'ISO 9001']",3,42,8.39,Stable,"['Lithium Batteries', 'Polycarbonate Resin', 'Titanium Alloy', 'Ceramic Components']",1980,814,498339485
SUP_2C96BB29,"Henderson, Brown and James Inc",Singapore,Riceside,Tier 2,"['ISO 9001', 'FDA 510k']",7,14,7.49,Stable,"['Polypropylene', 'Copper Wire', 'PVC Medical Grade', 'Electronic Components']",2015,4036,84105914
SUP_2C8AE7C7,Frazier Inc Corp,Malaysia,Kaylamouth,Tier 1,['GMP'],9,14,9.24,Stable,['Circuit Boards'],2010,4169,494592204
SUP_8A15959C,Carter and Sons Inc,United Kingdom,Smithview,Tier 1,"['ISO 13485', 'FDA 510k', 'GMP']",10,15,9.03,Stable,"['Polycarbonate Resin', 'Circuit Boards', 'Polyethylene', 'Titanium Alloy']",2019,721,226069660
SUP_567BCF95,"Gill, Romero and Rodriguez Pte Ltd",Philippines,Meaganhaven,Tier 3,"['CE Mark', 'GMP', 'ISO 13485']",6,37,7.8,Stable,"['Copper Wire', 'Glass Vials', 'Stainless Steel 316L']",1980,3804,334482333
SUP_074485BD,"Gonzalez, Brooks and Martin Ltd",Mexico,New Mariotown,Tier 1,"['FDA 510k', 'CE Mark', 'ISO 13485']",6,15,9.64,Moderate Risk,"['Latex', 'Copper Wire', 'Lithium Batteries']",1999,4383,5199998
SUP_E0D62C3E,Hickman LLC Pte Ltd,Philippines,North John,Tier 2,"['ISO 13485', 'FDA 510k', 'ISO 9001']",2,20,9.23,Stable,"['PVC Medical Grade', 'Optical Fibers', 'Nitrile Rubber']",2001,1717,370097210
SUP_12A0455F,"Arroyo, Miller and Tucker Corp",Indonesia,Port Amandaberg,Tier 3,"['CE Mark', 'ISO 13485']",2,88,8.27,Moderate Risk,['Medical Grade Silicone'],2001,1121,343047638
SUP_BBED433B,Keller PLC Inc,South Korea,West Allison,Tier 3,"['GMP', 'ISO 9001']",9,8,7.34,High Risk,"['Lithium Batteries', 'Titanium Alloy']",2003,4821,297634652
