article_id,timestamp,title,content,source,location,severity,event_type,estimated_duration_days,affected_industries,sentiment_score
NEWS_6359F31D,2025-05-26T22:50:20,Port strike in Taiwan disrupts shipping operations,Port strike in Taiwan disrupts shipping operations Local authorities report significant impact on industrial operations in Taiwan. Companies are exploring alternative sourcing options to minimize impact.,Bryan Inc News,Taiwan,Medium,Labor Strike,4,"['Manufacturing', 'Technology']",-0.8
NEWS_2305B31C,2025-05-03T12:48:28,"Natural disaster hits India, affecting local suppliers","Natural disaster hits India, affecting local suppliers Recovery efforts are underway with estimated timeline of 10 days. Local authorities report significant impact on industrial operations in India.",Fry PLC News,India,High,Natural Disaster,8,"['Logistics', 'Technology']",-0.58
NEWS_9D49A8D5,2025-05-12T10:31:22,Major power outage affects manufacturing in Netherlands for 5 days,Major power outage affects manufacturing in Netherlands for 5 days Local authorities report significant impact on industrial operations in Netherlands. Supply chain disruptions expected to last approximately 5 days.,"Clark, Armstrong and Montgomery News",Netherlands,High,Power Outage,5,"['Healthcare', 'Technology']",-0.22
NEWS_0885A072,2025-05-01T01:27:43,COVID-19 outbreak forces Italy facility closure,COVID-19 outbreak forces Italy facility closure Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 15 days. Supply chain disruptions expected to last approximately 10 days. Local authorities report significant impact on industrial operations in Italy.,Small-Gardner News,Italy,High,Health Crisis,10,['Healthcare'],-0.73
NEWS_3A4CB920,2025-05-14T06:08:29,Civil unrest in Switzerland impacts industrial operations,Civil unrest in Switzerland impacts industrial operations Manufacturing facilities in the region are implementing contingency plans. Recovery efforts are underway with estimated timeline of 14 days.,Sanchez-Aguirre News,Switzerland,Critical,Civil Unrest,13,['Logistics'],-0.15
NEWS_80851EF4,2025-05-19T07:18:30,"Natural disaster hits Japan, affecting local suppliers","Natural disaster hits Japan, affecting local suppliers Supply chain disruptions expected to last approximately 3 days. Local authorities report significant impact on industrial operations in Japan.",Chavez-Barker News,Japan,Low,Natural Disaster,3,"['Logistics', 'Technology']",-0.69
NEWS_E507889F,2025-05-07T06:21:12,New trade tariffs imposed on goods from Thailand,New trade tariffs imposed on goods from Thailand Manufacturing facilities in the region are implementing contingency plans. Recovery efforts are underway with estimated timeline of 10 days. Local authorities report significant impact on industrial operations in Thailand. Supply chain disruptions expected to last approximately 9 days.,Perry-Marshall News,Thailand,Critical,Trade Policy,9,"['Logistics', 'Healthcare', 'Technology']",-0.85
NEWS_10A2A781,2025-05-16T02:31:46,Factory fire in United States halts production,Factory fire in United States halts production Manufacturing facilities in the region are implementing contingency plans. Supply chain disruptions expected to last approximately 8 days. Local authorities report significant impact on industrial operations in United States.,"Thomas, Hensley and Flores News",United States,High,Industrial Accident,8,"['Healthcare', 'Logistics', 'Technology']",0.16
NEWS_E72DFF6B,2025-05-16T08:33:44,"Natural disaster hits Mexico, affecting local suppliers","Natural disaster hits Mexico, affecting local suppliers Companies are exploring alternative sourcing options to minimize impact. Manufacturing facilities in the region are implementing contingency plans. Recovery efforts are underway with estimated timeline of 18 days. Local authorities report significant impact on industrial operations in Mexico.",Anderson-Wood News,Mexico,Critical,Natural Disaster,13,['Logistics'],-0.19
NEWS_68799C0F,2025-05-26T20:32:50,Civil unrest in India impacts industrial operations,Civil unrest in India impacts industrial operations Supply chain disruptions expected to last approximately 1 days. Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 5 days. Local authorities report significant impact on industrial operations in India.,Flores Group News,India,High,Civil Unrest,1,['Logistics'],-0.3
NEWS_5C49B16F,2025-05-05T12:55:29,Civil unrest in Singapore impacts industrial operations,Civil unrest in Singapore impacts industrial operations Recovery efforts are underway with estimated timeline of 5 days. Companies are exploring alternative sourcing options to minimize impact.,Cole-Thomas News,Singapore,Low,Civil Unrest,4,"['Technology', 'Manufacturing', 'Logistics']",-0.62
NEWS_E5992E73,2025-05-02T01:08:08,Transportation network disrupted in Brazil,Transportation network disrupted in Brazil Supply chain disruptions expected to last approximately 1 days. Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 4 days.,Dougherty-Lin News,Brazil,Critical,Transportation Disruption,1,"['Manufacturing', 'Logistics']",-0.59
NEWS_B0ECBAB4,2025-05-19T21:20:19,COVID-19 outbreak forces Japan facility closure,COVID-19 outbreak forces Japan facility closure Supply chain disruptions expected to last approximately 14 days. Companies are exploring alternative sourcing options to minimize impact.,Estes and Sons News,Japan,Critical,Health Crisis,14,"['Healthcare', 'Manufacturing']",-0.03
NEWS_A3FA50A5,2025-05-15T11:40:00,Factory fire in Belgium halts production,Factory fire in Belgium halts production Local authorities report significant impact on industrial operations in Belgium. Supply chain disruptions expected to last approximately 3 days. Recovery efforts are underway with estimated timeline of 8 days. Companies are exploring alternative sourcing options to minimize impact.,"Griffith, Lee and Moore News",Belgium,Critical,Industrial Accident,3,"['Healthcare', 'Manufacturing', 'Logistics']",-0.89
NEWS_345F80CC,2025-05-24T13:52:27,Civil unrest in Belgium impacts industrial operations,Civil unrest in Belgium impacts industrial operations Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 7 days. Local authorities report significant impact on industrial operations in Belgium. Manufacturing facilities in the region are implementing contingency plans.,Jimenez-Parker News,Belgium,Critical,Civil Unrest,7,"['Technology', 'Manufacturing']",-0.01
NEWS_B38820B8,2025-04-30T17:10:43,Regulatory inspection halts operations at Japan facility,Regulatory inspection halts operations at Japan facility Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 5 days. Local authorities report significant impact on industrial operations in Japan. Manufacturing facilities in the region are implementing contingency plans.,Landry PLC News,Japan,Medium,Regulatory Issue,5,"['Healthcare', 'Technology']",0.0
NEWS_F0BEE5ED,2025-05-21T18:53:19,Port strike in France disrupts shipping operations,Port strike in France disrupts shipping operations Supply chain disruptions expected to last approximately 11 days. Companies are exploring alternative sourcing options to minimize impact. Manufacturing facilities in the region are implementing contingency plans.,Lewis LLC News,France,Medium,Labor Strike,11,['Manufacturing'],-0.08
NEWS_61E2ABA9,2025-05-01T22:52:02,Port strike in France disrupts shipping operations,Port strike in France disrupts shipping operations Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 13 days. Supply chain disruptions expected to last approximately 10 days. Manufacturing facilities in the region are implementing contingency plans.,Campbell PLC News,France,Low,Labor Strike,10,"['Manufacturing', 'Logistics']",-0.8
NEWS_18CAC551,2025-05-22T10:26:59,"Natural disaster hits Germany, affecting local suppliers","Natural disaster hits Germany, affecting local suppliers Supply chain disruptions expected to last approximately 6 days. Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in Germany. Companies are exploring alternative sourcing options to minimize impact.",Herrera-Boone News,Germany,High,Natural Disaster,6,"['Technology', 'Healthcare']",0.09
NEWS_E49D6DFD,2025-05-20T12:14:37,Major power outage affects manufacturing in Switzerland for 5 days,Major power outage affects manufacturing in Switzerland for 5 days Local authorities report significant impact on industrial operations in Switzerland. Supply chain disruptions expected to last approximately 5 days. Manufacturing facilities in the region are implementing contingency plans. Recovery efforts are underway with estimated timeline of 8 days.,Khan Ltd News,Switzerland,Low,Power Outage,5,"['Logistics', 'Healthcare', 'Technology']",0.05
NEWS_0AFAB44A,2025-05-17T08:20:17,Civil unrest in Philippines impacts industrial operations,Civil unrest in Philippines impacts industrial operations Recovery efforts are underway with estimated timeline of 8 days. Manufacturing facilities in the region are implementing contingency plans.,Diaz-Morales News,Philippines,Medium,Civil Unrest,5,['Logistics'],-0.38
NEWS_A8B082CC,2025-05-27T06:36:09,COVID-19 outbreak forces Switzerland facility closure,COVID-19 outbreak forces Switzerland facility closure Local authorities report significant impact on industrial operations in Switzerland. Supply chain disruptions expected to last approximately 7 days.,"Lee, Tran and Jones News",Switzerland,Medium,Health Crisis,7,"['Logistics', 'Manufacturing', 'Healthcare']",-0.5
NEWS_48BD9C08,2025-05-24T01:40:35,Port strike in China disrupts shipping operations,Port strike in China disrupts shipping operations Companies are exploring alternative sourcing options to minimize impact. Manufacturing facilities in the region are implementing contingency plans.,Duran-Ramirez News,China,High,Labor Strike,14,"['Healthcare', 'Manufacturing', 'Logistics']",0.07
NEWS_77F3A01C,2025-05-29T06:05:35,Transportation network disrupted in Brazil,Transportation network disrupted in Brazil Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in Brazil.,Anderson Inc News,Brazil,Low,Transportation Disruption,13,['Logistics'],0.03
NEWS_10ECBC67,2025-05-18T17:06:26,New trade tariffs imposed on goods from Vietnam,New trade tariffs imposed on goods from Vietnam Supply chain disruptions expected to last approximately 5 days. Local authorities report significant impact on industrial operations in Vietnam.,Norton-Morgan News,Vietnam,Critical,Trade Policy,5,"['Manufacturing', 'Technology', 'Healthcare']",-0.07
NEWS_BD6A667B,2025-05-17T08:08:19,Major power outage affects manufacturing in Belgium for 4 days,Major power outage affects manufacturing in Belgium for 4 days Recovery efforts are underway with estimated timeline of 5 days. Local authorities report significant impact on industrial operations in Belgium.,Gonzalez PLC News,Belgium,Critical,Power Outage,4,['Healthcare'],-0.95
NEWS_9406208C,2025-05-19T01:49:34,Major power outage affects manufacturing in Japan for 13 days,Major power outage affects manufacturing in Japan for 13 days Recovery efforts are underway with estimated timeline of 14 days. Supply chain disruptions expected to last approximately 13 days.,"Williams, Williams and Reeves News",Japan,Medium,Power Outage,13,['Healthcare'],-0.96
NEWS_25986F00,2025-05-22T14:07:41,Civil unrest in Vietnam impacts industrial operations,Civil unrest in Vietnam impacts industrial operations Supply chain disruptions expected to last approximately 10 days. Recovery efforts are underway with estimated timeline of 13 days. Manufacturing facilities in the region are implementing contingency plans.,"Bryant, Obrien and Robertson News",Vietnam,Low,Civil Unrest,10,['Manufacturing'],-0.37
NEWS_17EAAB9D,2025-05-15T12:17:03,New trade tariffs imposed on goods from Taiwan,New trade tariffs imposed on goods from Taiwan Local authorities report significant impact on industrial operations in Taiwan. Recovery efforts are underway with estimated timeline of 7 days. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 5 days.,"Flores, Long and Jensen News",Taiwan,High,Trade Policy,5,"['Logistics', 'Technology', 'Manufacturing']",-0.78
NEWS_F554C162,2025-05-14T02:48:34,Factory fire in Switzerland halts production,Factory fire in Switzerland halts production Supply chain disruptions expected to last approximately 7 days. Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in Switzerland. Recovery efforts are underway with estimated timeline of 9 days.,"Rogers, Clayton and Patel News",Switzerland,Low,Industrial Accident,7,"['Manufacturing', 'Healthcare']",-0.84
NEWS_01EAC2BE,2025-05-26T22:01:50,Civil unrest in Switzerland impacts industrial operations,Civil unrest in Switzerland impacts industrial operations Manufacturing facilities in the region are implementing contingency plans. Companies are exploring alternative sourcing options to minimize impact.,Wells-Smith News,Switzerland,Low,Civil Unrest,9,"['Healthcare', 'Logistics']",-0.28
NEWS_CC6F4ECE,2025-05-15T16:05:54,COVID-19 outbreak forces Japan facility closure,COVID-19 outbreak forces Japan facility closure Manufacturing facilities in the region are implementing contingency plans. Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in Japan.,"Rodriguez, Butler and Parker News",Japan,Low,Health Crisis,4,"['Healthcare', 'Manufacturing']",-0.98
NEWS_8A4EA2FA,2025-04-30T21:13:21,COVID-19 outbreak forces Philippines facility closure,COVID-19 outbreak forces Philippines facility closure Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in Philippines. Recovery efforts are underway with estimated timeline of 12 days.,"Wells, Coffey and Patton News",Philippines,Medium,Health Crisis,11,"['Technology', 'Healthcare']",-0.29
NEWS_F4ADDFE4,2025-05-27T16:08:52,"Natural disaster hits India, affecting local suppliers","Natural disaster hits India, affecting local suppliers Manufacturing facilities in the region are implementing contingency plans. Supply chain disruptions expected to last approximately 2 days.","Perez, Williams and Castillo News",India,Critical,Natural Disaster,2,['Logistics'],0.01
NEWS_402C0994,2025-05-25T00:57:04,COVID-19 outbreak forces Israel facility closure,COVID-19 outbreak forces Israel facility closure Manufacturing facilities in the region are implementing contingency plans. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 5 days. Recovery efforts are underway with estimated timeline of 10 days.,"Griffith, Hampton and James News",Israel,Critical,Health Crisis,5,"['Healthcare', 'Manufacturing']",-0.08
NEWS_7DA9A3E6,2025-05-11T08:21:21,Port strike in India disrupts shipping operations,Port strike in India disrupts shipping operations Supply chain disruptions expected to last approximately 5 days. Recovery efforts are underway with estimated timeline of 9 days. Local authorities report significant impact on industrial operations in India.,Armstrong Ltd News,India,Low,Labor Strike,5,"['Manufacturing', 'Technology', 'Logistics']",-0.19
